Data;Shapiro_Statistic;Shapiro_pValue
Math;0.8838977813720703;2.1406352246344795e-08
ProbSolv;0.9237349033355713;9.298018994741142e-06
CrossFix;0.9472966194152832;0.00011244204506510869
Read;0.940692126750946;2.6897721909335814e-05
ProgCompr;0.9439050555229187;1.4151019765706874e-12
