Baseline1;Baseline2;Kruskal_Statistic;Kruskal_pValue;MWU_Statistic;MWU_pValue;FDR
Math;ProbSolv;;;6578.0;0.6403076849225857;0.8716094167284156
Math;CrossFix;;;7429.0;0.726341180607013;0.8716094167284156
Math;Read;;;8392.0;0.4310397828945931;0.8620795657891862
ProbSolv;CrossFix;;;6828.0;0.9031536487378804;0.9031536487378804
ProbSolv;Read;;;7710.0;0.2061319909574355;0.7057321879620606
CrossFix;Read;;;8555.0;0.2352440626540202;0.7057321879620606
;;2.0179393534228893;0.5686916860982822;;;42.0
