Baseline;Shapiro_Statistic;Shapiro_pValue
Math;0.9502793550491333;0.0001747676287777722
ProbSolv;0.9332644939422607;3.3958298445213586e-05
CrossFix;0.9764640927314758;0.030000505968928337
Read;0.9335520267486572;8.771836291998625e-06
