Baseline;Shapiro_Statistic;Shapiro_pValue
Math;0.9420347213745117;4.430119588505477e-05
ProbSolv;0.9404566287994385;9.604990918887779e-05
CrossFix;0.9408041834831238;3.9091471990104765e-05
Read;0.9334169626235962;8.59306692291284e-06
