Baseline1;Baseline2;Kruskal_Statistic;Kruskal_pValue;MWU_Statistic;MWU_pValue
Math;ProbSolv;;;8030.0;0.019272747027783015
Math;CrossFix;;;6381.0;0.02664731118533934
Math;Read;;;8536.0;0.30004192497161775
ProbSolv;CrossFix;;;4579.0;2.0918597348417687e-05
ProbSolv;Read;;;6177.0;0.10336990856900799
CrossFix;Read;;;9691.0;0.0015635978224240222
;;20.897320726923226;0.00011057367258178208;;
